,UF,NOME DA UF,MUNICIPIO,NOME DO MUNICIPIO,DISTRITO,NOME DO DISTRITO,SUBDISTRITO,NOME DO SUBDISTRITO,CODIGO IBGE
3,41,Paraná,00608,Alto Paraná,15,Santa Maria,,,4100608
5,41,Paraná,00905,Amaporã,10,Nordestina,,,4100905
6,41,Paraná,06704,Cruzeiro do Sul,05,Cruzeiro do Sul,,,4106704
7,41,Paraná,07108,Diamante do Norte,05,Diamante do Norte,,,4107108
8,41,Paraná,08908,Guairaçá,05,Guairaçá,,,4108908
9,41,Paraná,10300,Inajá,05,Inajá,,,4110300
10,41,Paraná,11308,Itaúna do Sul,05,Itaúna do Sul,,,4111308
11,41,Paraná,12603,Jardim Olinda,05,Jardim Olinda,,,4112603
12,41,Paraná,13502,Loanda,05,Loanda,,,4113502
13,41,Paraná,15002,Marilena,05,Marilena,,,4115002
14,41,Paraná,15903,Mirador,05,Mirador,,,4115903
15,41,Paraná,16505,Nova Aliança do Ivaí,05,Nova Aliança do Ivaí,,,4116505
17,41,Paraná,17107,Nova Londrina,10,Cintra Pimentel,,,4117107
18,41,Paraná,18006,Paraíso do Norte,05,Paraíso do Norte,,,4118006
19,41,Paraná,18105,Paranacity,05,Paranacity,,,4118105
20,41,Paraná,18303,Paranapoema,05,Paranapoema,,,4118303
25,41,Paraná,18402,Paranavaí,25,Sumaré,,,4118402
27,41,Paraná,19707,Planaltina do Paraná,10,Comur,,,4119707
28,41,Paraná,20200,Porto Rico,05,Porto Rico,,,4120200
31,41,Paraná,21000,Querência do Norte,15,Porto Brasílio,,,4121000
33,41,Paraná,23303,Santa Cruz de Monte Castelo,10,Santa Esmeralda,,,4123303
35,41,Paraná,23709,Santa Isabel do Ivaí,15,São José do Ivaí,,,4123709
36,41,Paraná,23956,Santa Mônica,05,Santa Mônica,,,4123956
37,41,Paraná,24202,Santo Antônio do Caiuá,05,Santo Antônio do Caiuá,,,4124202
39,41,Paraná,24608,São Carlos do Ivaí,10,Porto São Carlos,,,4124608
40,41,Paraná,24905,São João do Caiuá,05,São João do Caiuá,,,4124905
42,41,Paraná,25902,São Pedro do Paraná,10,Porto São José,,,4125902
43,41,Paraná,26702,Tamboara,05,Tamboara,,,4126702
45,41,Paraná,27304,Terra Rica,10,Adhemar de Barros,,,4127304
48,41,Paraná,00509,Altônia,15,São João,,,4100509
52,41,Paraná,00707,Alto Piquiri,25,Saltinho do Oeste,,,4100707
53,41,Paraná,03370,Brasilândia do Sul,05,Brasilândia do Sul,,,4103370
56,41,Paraná,03479,Cafezal do Sul,15,Jangada,,,4103479
59,41,Paraná,06605,Cruzeiro do Oeste,15,São Silvestre,,,4106605
60,41,Paraná,07256,Douradina,05,Douradina,,,4107256
61,41,Paraná,07520,Esperança Nova,05,Esperança Nova,,,4107520
63,41,Paraná,08320,Francisco Alves,10,Rio Bonito,,,4108320
66,41,Paraná,09906,Icaraíma,15,Vila Rica do Ivaí,,,4109906
69,41,Paraná,10607,Iporã,15,Oroite,,,4110607
71,41,Paraná,11555,Ivaté,15,Herculândia,,,4111555
73,41,Paraná,14708,Maria Helena,10,Carbonera,,,4114708
75,41,Paraná,15101,Mariluz,10,São Luiz,,,4115101
76,41,Paraná,17206,Nova Olímpia,05,Nova Olímpia,,,4117206
77,41,Paraná,18857,Perobal,05,Perobal,,,4118857
78,41,Paraná,18907,Pérola,05,Pérola,,,4118907
79,41,Paraná,25357,São Jorge do Patrocínio,05,São Jorge do Patrocínio,,,4125357
80,41,Paraná,26900,Tapira,05,Tapira,,,4126900
85,41,Paraná,28104,Umuarama,35,Serra dos Dourados,,,4128104
86,41,Paraná,28625,Alto Paraíso,05,Alto Paraíso,,,4128625
87,41,Paraná,28807,Xambrê,05,Xambrê,,,4128807
90,41,Paraná,05508,Cianorte,15,Vidigal,,,4105508
91,41,Paraná,05607,Cidade Gaúcha,05,Cidade Gaúcha,,,4105607
92,41,Paraná,09104,Guaporema,05,Guaporema,,,4109104
93,41,Paraná,10409,Indianópolis,05,Indianópolis,,,4110409
94,41,Paraná,12405,Japurá,05,Japurá,,,4112405
95,41,Paraná,13007,Jussara,05,Jussara,,,4113007
96,41,Paraná,22602,Rondon,05,Rondon,,,4122602
97,41,Paraná,25555,São Manoel do Paraná,05,São Manoel do Paraná,,,4125555
98,41,Paraná,26108,São Tomé,05,São Tomé,,,4126108
100,41,Paraná,26801,Tapejara,10,Bela Vista do Tapiracuí,,,4126801
103,41,Paraná,27908,Tuneiras do Oeste,15,Marabá,,,4127908
104,41,Paraná,00459,Altamira do Paraná,05,Altamira do Paraná,,,4100459
105,41,Paraná,03008,Boa Esperança,05,Boa Esperança,,,4103008
109,41,Paraná,03909,Campina da Lagoa,20,Salles de Oliveira,,,4103909
110,41,Paraná,08601,Goioerê,05,Goioerê,,,4108601
112,41,Paraná,12207,Janiópolis,10,Arapuan,,,4112207
115,41,Paraná,12959,Juranda,10,Rio Verde,,,4112959
117,41,Paraná,16109,Moreira Sales,10,Paraná d'Oeste,,,4116109
120,41,Paraná,16802,Nova Cantu,15,Santo Rei,,,4116802
121,41,Paraná,20655,Quarto Centenário,05,Quarto Centenário,,,4120655
122,41,Paraná,21356,Rancho Alegre D'Oeste,05,Rancho Alegre D'Oeste,,,4121356
124,41,Paraná,28005,Ubiratã,10,Yolanda,,,4128005
126,41,Paraná,01705,Araruna,15,São Vicente,,,4101705
131,41,Paraná,02505,Barbosa Ferraz,25,Tereza Breda,,,4102505
138,41,Paraná,04303,Campo Mourão,20,Piquirivaí,,,4104303
139,41,Paraná,06555,Corumbataí do Sul,05,Corumbataí do Sul,,,4106555
145,41,Paraná,07504,Engenheiro Beltrão,20,Triângulo,,,4107504
147,41,Paraná,07553,Farol,10,Martinópolis D'Oeste,,,4107553
150,41,Paraná,07702,Fênix,15,Porteira Preta,,,4107702
153,41,Paraná,10805,Iretama,10,Marilu,,,4110805
154,41,Paraná,13734,Luiziana,05,Luiziana,,,4113734
155,41,Paraná,14005,Mamborê,05,Mamborê,,,4114005
156,41,Paraná,18808,Peabiru,05,Peabiru,,,4118808
158,41,Paraná,21109,Quinta do Sol,10,Irapuan,,,4121109
160,41,Paraná,22503,Roncador,10,Alto do São João,,,4122503
161,41,Paraná,27205,Terra Boa,05,Terra Boa,,,4127205
162,41,Paraná,01150,Ângulo,05,Ângulo,,,4101150
166,41,Paraná,02109,Astorga,20,Tupinambá,,,4102109
167,41,Paraná,02208,Atalaia,05,Atalaia,,,4102208
168,41,Paraná,03404,Cafeara,05,Cafeara,,,4103404
169,41,Paraná,05102,Centenário do Sul,05,Centenário do Sul,,,4105102
171,41,Paraná,05904,Colorado,10,Alto Alegre,,,4105904
172,41,Paraná,08106,Flórida,05,Flórida,,,4108106
174,41,Paraná,09203,Guaraci,10,Bentópolis,,,4109203
175,41,Paraná,10003,Iguaraçu,05,Iguaraçu,,,4110003
176,41,Paraná,10904,Itaguajé,05,Itaguajé,,,4110904
177,41,Paraná,11902,Jaguapitã,05,Jaguapitã,,,4111902
178,41,Paraná,13601,Lobato,05,Lobato,,,4113601
180,41,Paraná,13809,Lupionópolis,10,Mairá,,,4113809
181,41,Paraná,14104,Mandaguaçu,05,Mandaguaçu,,,4114104
183,41,Paraná,16307,Munhoz de Melo,10,Fernão Dias,,,4116307
184,41,Paraná,16406,Nossa Senhora das Graças,05,Nossa Senhora das Graças,,,4116406
187,41,Paraná,16901,Nova Esperança,15,Ivaitinga,,,4116901
189,41,Paraná,20408,Presidente Castelo Branco,10,Boa Vista,,,4120408
190,41,Paraná,23402,Santa Fé,05,Santa Fé,,,4123402
191,41,Paraná,23600,Santa Inês,05,Santa Inês,,,4123600
192,41,Paraná,24509,Santo Inácio,05,Santo Inácio,,,4124509
193,41,Paraná,28302,Uniflor,05,Uniflor,,,4128302
195,41,Paraná,00806,Alvorada do Sul,10,Esperança do Norte,,,4100806
197,41,Paraná,02802,Bela Vista do Paraíso,10,Santa Margarida,,,4102802
198,41,Paraná,08007,Florestópolis,05,Florestópolis,,,4108007
199,41,Paraná,16000,Miraselva,05,Miraselva,,,4116000
200,41,Paraná,20002,Porecatu,05,Porecatu,,,4120002
201,41,Paraná,20333,Prado Ferreira,05,Prado Ferreira,,,4120333
203,41,Paraná,20507,Primeiro de Maio,10,Ibiaci,,,4120507
204,41,Paraná,26504,Sertanópolis,05,Sertanópolis,,,4126504
205,41,Paraná,07306,Doutor Camargo,05,Doutor Camargo,,,4107306
207,41,Paraná,07801,Floraí,10,Nova Bilac,,,4107801
208,41,Paraná,07900,Floresta,05,Floresta,,,4107900
209,41,Paraná,11100,Itambé,05,Itambé,,,4111100
210,41,Paraná,11605,Ivatuba,05,Ivatuba,,,4111605
211,41,Paraná,17404,Ourizona,05,Ourizona,,,4117404
213,41,Paraná,25308,São Jorge do Ivaí,10,Copacabana do Norte,,,4125308
214,41,Paraná,14203,Mandaguari,05,Mandaguari,,,4114203
218,41,Paraná,14807,Marialva,20,São Miguel do Cambuí,,,4114807
268,41,Paraná,15200,Maringá,15,Iguatemi,33,Zona 33,4115200
270,41,Paraná,17503,Paiçandu,10,Água Boa,,,4117503
271,41,Paraná,26256,Sarandi,05,Sarandi,,,4126256
276,41,Paraná,01408,Apucarana,25,Vila Reis,,,4101408
